City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lazaro cardenas,17.9583,-102.2,29.65,72,60,4.47,MX,1688946138
1,grytviken,-54.2811,-36.5092,-5.89,82,18,3.97,GS,1688945951
2,albany,42.6001,-73.9662,21.14,93,100,0.61,US,1688946177
3,new glasgow,45.5834,-62.6486,20.88,89,26,2.28,CA,1688946177
4,severobaykal'sk,55.65,109.3167,16.65,75,97,0.97,RU,1688946178
5,tiksi,71.6872,128.8694,5.59,63,49,3.26,RU,1688945933
6,new norfolk,-42.7826,147.0587,11.51,74,95,3.35,AU,1688946040
7,peace river,56.2501,-117.286,31.17,37,20,2.57,CA,1688946179
8,kodiak,57.79,-152.4072,9.73,81,100,7.2,US,1688946179
9,isafjordur,66.0755,-23.124,11.9,69,55,0.68,IS,1688946180
10,waitangi,-43.9535,-176.5597,11.57,85,95,4.02,NZ,1688945929
11,lebu,-37.6167,-73.65,8.39,73,5,2.81,CL,1688946180
12,edinburgh of the seven seas,-37.0676,-12.3116,15.6,81,100,10.89,SH,1688945930
13,ilha de mocambique,-15.0342,40.7358,24.06,62,0,1.78,MZ,1688946181
14,gizo,-8.103,156.8419,28.06,79,100,5.45,SB,1688946181
15,fort st. john,56.2499,-120.8529,31.94,23,75,5.14,CA,1688946016
16,pucon,-39.2822,-71.9543,5.56,92,98,1.05,CL,1688946160
17,kitimat,54.0524,-128.6534,28.21,69,68,4.47,CA,1688946182
18,uturoa,-16.7333,-151.4333,26.63,81,100,9.38,PF,1688946182
19,bilibino,68.0546,166.4372,16.4,51,100,2.28,RU,1688946182
20,opuwo,-18.0607,13.84,13.77,25,0,2.98,NA,1688946003
21,ushuaia,-54.8,-68.3,2.81,81,75,6.69,AR,1688946183
22,toliara,-23.35,43.6667,20.03,74,33,1.86,MG,1688946183
23,hinche,19.15,-72.0167,23.46,84,94,0.92,HT,1688946184
24,ad dilam,23.9915,47.1627,33.23,12,14,3.34,SA,1688946184
25,merritt island,28.5392,-80.672,30.02,85,0,3.09,US,1688946184
26,hamilton,39.1834,-84.5333,25.69,59,0,5.66,US,1688945960
27,puerto baquerizo moreno,-0.9,-89.6,24.83,78,68,5.72,EC,1688945988
28,acarau,-2.8856,-40.12,25.83,80,27,7.58,BR,1688946185
29,weno,7.4515,151.8468,28.97,84,100,2.57,FM,1688946185
30,harpswell center,43.8018,-69.9842,21.9,84,100,2.07,US,1688946185
31,lautoka,-17.6167,177.4667,28.92,48,20,1.03,FJ,1688945639
32,tazovsky,67.4667,78.7,6.67,78,22,4.45,RU,1688946186
33,flying fish cove,-10.4217,105.6791,24.82,94,100,5.66,CX,1688946186
34,lompoc,34.6391,-120.4579,25.99,73,40,9.83,US,1688946186
35,flin flon,54.7682,-101.865,17.91,36,75,5.66,CA,1688946013
36,ribeira grande,38.5167,-28.7,21.54,94,86,2.68,PT,1688946186
37,adamstown,-25.066,-130.1015,21.55,68,100,5.52,PN,1688946187
38,olonkinbyen,70.9221,-8.7187,2.46,97,100,10.19,SJ,1688946187
39,lishui,28.4604,119.9103,30.06,71,99,1.45,CN,1688946105
40,jamestown,42.097,-79.2353,22.8,69,100,3.09,US,1688946187
41,nantucket,41.2835,-70.0995,24.03,96,100,2.06,US,1688946187
42,wailua homesteads,22.0669,-159.378,29.44,64,75,8.23,US,1688946188
43,fort bragg,35.139,-79.006,28.84,75,0,3.09,US,1688946188
44,tavricheskoye,54.5851,73.6395,18.95,77,34,2.27,RU,1688946188
45,puerto natales,-51.7236,-72.4875,-1.85,93,14,1.22,CL,1688946188
46,caleta de carquin,-11.0925,-77.6267,20.59,80,3,4.56,PE,1688945950
47,hithadhoo,-0.6,73.0833,27.02,72,15,0.68,MV,1688946189
48,papatowai,-46.5619,169.4708,10.08,76,98,0.67,NZ,1688945968
49,port-aux-francais,-49.35,70.2167,2.27,64,92,10.44,TF,1688946189
50,iqaluit,63.7506,-68.5145,5.85,86,75,3.09,CA,1688946007
51,quellon,-43.1167,-73.6167,4.14,93,0,2.06,CL,1688946168
52,hawaiian paradise park,19.5933,-154.9731,27.8,66,75,2.57,US,1688946190
53,susuman,62.7833,148.1667,5.23,66,100,3.93,RU,1688946027
